Respondent,Submitted (date),Season,Role,"If you did nothing related to marketing for 30 days, what happens?",Who does the cleaning most of the time?,Who handles quoting/sales?,What most often prevents you from taking time off?,How consistent is quality across jobs?,"You have an extra $1,000/month to spend, what would help the most ?",Scheduling + client communication feels like...,What causes the most stress in your business week-to-week?,"If you disappeared for 7 days, what % of jobs would still happen?",Financial tracking right now looks like...,SOPs / Training systems are...,What's the biggest profit killer in your business?,Owner time is mostly spent on…,The business is best described as...,"When you try to grow, what breaks first?",Which statement feels most true right now?,Which resources would you like me to send you? (These are FREE!),Which resources would you like me to send you? (These are FREE!) (2),Which resources would you like me to send you? (These are FREE!) (3),Which resources would you like me to send you? (These are FREE!) (4)
R01,2026-02-10,33,41,You'd feel steady; marketing KPIs are managed by a trained team member or agency.,Never me; I'm not needed for cleanings at all,Sales is owned by a trained role; I review KPIs weekly/monthly,"If I’m not there, long-term growth decisions won't be made as expected",Brand-standard quality with audits and/or training; not person-dependent at all,"More profitable marketing/sales (ads, SEO, referrals)","Systemized; Someone else dispatches day-to-day, I step in when needed","“We might have gaps, I want better systems and team members who take ownership.”",95-100%,"I check weekly KPIs (labor %, CAC, churn, profit)",SOPs are an asset; onboarding is fast + audit-ready,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Whiteboard sessions, strategy, expansion, partnerships; leadership only",It’s a machine; I steer it,We just don't get enough inquiries / bookings,“We have demand and systems - but we need leaders and ownership on the team.”,,,Cleaning Checklist (for Cleaners),
R02,2026-02-10,21,29,"You feel out of control, you don't have that many cleans right now",Rarely me; team handles almost all jobs,Me with a basic script + process,"If I’m not there, scheduling/comms/customer satisfaction falls apart",Kinda consistent; we have checklists that are somewhat followed,"Management/leadership (team lead, ops manager, coaching)",Constant texts and fires; it's all in my head,“Will my cleaners show up and do it right?”,25-50%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,"Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,,Booking Koala Automatic Setup Guide (even if you already use BK!)
R03,2026-02-10,25,32,All new business stops; panic mode,Rarely me; team handles almost all jobs,Mostly handled by my VA; I oversee,"If I’m not marketing/selling, we won't get many new bookings",Brand-standard quality with audits and/or training; not person-dependent at all,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,"“We might have gaps, I want better systems and team members who take ownership.”",0-25%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,Weak standards + accountability; team depends on you to pick up their slack and catch their mistakes,Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,How to Get Free Leads from Google (Local SEO Hack Video),
R04,2026-02-10,27,30,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Never me; I'm not needed for cleanings at all,Me with a basic script + process,"If I’m not marketing/selling, we won't get many new bookings",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“Will my cleaners show up and do it right?”,25-50%,Basic bookkeeping; I know revenue/costs monthly,Documented SOP library + enforcement,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential","Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand - but staffing and consistency keep us stuck.”,,,The Best Sales PDF Ever! (for New Leads),
R05,2026-02-10,27,33,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Never me; I'm not needed for cleanings at all,Me,"If I’m not marketing/selling, we won't get many new bookings",Brand-standard quality with audits and/or training; not person-dependent at all,"Systems/tools (scheduling, SOPs, QA, automation)",Manageable with templates but I'm still the hub,"“We might have gaps, I want better systems and team members who take ownership.”",95-100%,Basic bookkeeping; I know revenue/costs monthly,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential","Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,The Best Sales PDF Ever! (for New Leads),
R06,2026-02-11,14,19,All new business stops; panic mode,Mostly me,Me,"If I’m not there, scheduling/comms/customer satisfaction falls apart",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Constant texts and fires; it's all in my head,“How will we get new cleanings?”,0-25%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)",It’s a machine; I steer it,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R07,2026-02-11,24,29,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Mix of me + team,Me with a basic script + process,"If I’m not marketing/selling, we won't get many new bookings",Kinda consistent; we have checklists that are somewhat followed,"Systems/tools (scheduling, SOPs, QA, automation)",Constant texts and fires; it's all in my head,“How will we get new cleanings?”,25-50%,Checking the bank; random surprises happen,Some checklists; not always followed,Weak standards + accountability; team depends on you to pick up their slack and catch their mistakes,Managing managers/systems + payroll + marketing + checking KPIs,"It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
R08,2026-02-14,16,17,All new business stops; panic mode,Mostly me,Me,"If I’m not there, the clean won't get done right",Largely dependent on who shows up,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Checking the bank; random surprises happen,Some checklists; not always followed,"Turnover, no-shows, slow/low-quality labor",Managing managers/systems + payroll + marketing + checking KPIs,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,"Pre-Clean ""Expectations"" + TOS Email (for New Clients)"
R09,2026-02-15,22,27,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Mix of me + team,Me,"If I’m not there, scheduling/comms/customer satisfaction falls apart",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,"“Everything’s scattered - texts, schedules, notes, mistakes.”",25-50%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential",We just don't get enough inquiries / bookings,“We have demand and systems - but we need leaders and ownership on the team.”,,,,How to Get Free Leads from Google (Local SEO Hack Video)
R10,2026-02-19,21,26,All new business stops; panic mode,Mix of me + team,Mostly handled by my VA; I oversee,"If I’m not marketing/selling, we won't get many new bookings",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)","Systemized; Someone else dispatches day-to-day, I step in when needed",“How will we get new cleanings?”,25-50%,Basic bookkeeping; I know revenue/costs monthly,SOPs are an asset; onboarding is fast + audit-ready,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
